receipt_id,date,store_id,payment,sku,product_name,category,quantity,unit_price
R-0001,2026-03-12 09:14,1,cash,SKU-101,Хлеб белый нарезной,Хлебобулочные,1,45
R-0001,2026-03-12 09:14,1,cash,SKU-220,Молоко 2.5% 1л,Молочные,2,89
R-0002,2026-03-12 10:02,1,card,SKU-101,Хлеб белый нарезной,Хлебобулочные,1,45
R-0002,2026-03-12 10:02,1,card,SKU-330,Сыр Российский 200г,Молочные,1,210
R-0003,2026-03-12 11:48,1,card,SKU-410,Печенье «Утро» 200г,Снеки,1,75
R-0004,2026-03-13 08:30,1,cash,SKU-101,Хлеб белый нарезной,Хлебобулочные,2,45
R-0004,2026-03-13 08:30,1,cash,SKU-220,Молоко 2.5% 1л,Молочные,1,89
R-0005,2026-03-13 12:11,2,card,SKU-510,Чай зелёный 100г,Напитки,1,180
R-0006,2026-03-14 14:22,1,card,SKU-220,Молоко 2.5% 1л,Молочные,3,89
R-0006,2026-03-14 14:22,1,card,SKU-330,Сыр Российский 200г,Молочные,1,210
R-0007,2026-03-15 09:01,1,cash,SKU-101,Хлеб белый нарезной,Хлебобулочные,1,45
R-0008,2026-03-16 17:33,2,card,SKU-620,Сок «Луч» апельсин 1л,Напитки,1,140
R-0009,2026-03-17 10:11,1,cash,SKU-101,Хлеб белый нарезной,Хлебобулочные,2,45
R-0010,2026-03-18 12:45,1,card,SKU-220,Молоко 2.5% 1л,Молочные,1,89
R-0011,2026-03-19 08:50,1,cash,SKU-101,Хлеб белый нарезной,Хлебобулочные,1,45
R-0012,2026-03-20 14:14,1,card,SKU-330,Сыр Российский 200г,Молочные,2,210
R-0013,2026-03-22 10:18,2,card,SKU-720,Конфеты «Птичка» 250г,Снеки,1,320
R-0014,2026-03-23 11:30,1,cash,SKU-220,Молоко 2.5% 1л,Молочные,2,89
R-0015,2026-03-24 16:00,1,card,SKU-101,Хлеб белый нарезной,Хлебобулочные,1,45
R-0016,2026-03-25 09:22,1,card,SKU-220,Молоко 2.5% 1л,Молочные,1,89
R-0017,2026-03-26 13:40,2,card,SKU-510,Чай зелёный 100г,Напитки,1,180
R-0018,2026-03-27 15:15,1,cash,SKU-101,Хлеб белый нарезной,Хлебобулочные,2,45
R-0019,2026-03-28 17:48,1,card,SKU-330,Сыр Российский 200г,Молочные,1,210
R-0020,2026-03-30 10:05,1,cash,SKU-101,Хлеб белый нарезной,Хлебобулочные,1,45
R-0021,2026-04-01 11:20,1,card,SKU-220,Молоко 2.5% 1л,Молочные,2,89
R-0022,2026-04-02 12:45,1,cash,SKU-101,Хлеб белый нарезной,Хлебобулочные,1,45
R-0023,2026-04-03 14:30,2,card,SKU-820,Шоколад горький 100г,Снеки,1,150
R-0024,2026-04-05 09:55,1,card,SKU-220,Молоко 2.5% 1л,Молочные,1,89
R-0025,2026-04-06 16:18,1,cash,SKU-101,Хлеб белый нарезной,Хлебобулочные,2,45
R-0026,2026-04-08 10:30,1,card,SKU-330,Сыр Российский 200г,Молочные,1,210
R-0027,2026-04-10 13:10,1,cash,SKU-220,Молоко 2.5% 1л,Молочные,1,89
R-0028,2026-04-12 11:00,2,card,SKU-101,Хлеб белый нарезной,Хлебобулочные,1,45
R-0029,2026-04-15 14:25,1,card,SKU-220,Молоко 2.5% 1л,Молочные,2,89
R-0030,2026-04-18 09:40,1,cash,SKU-101,Хлеб белый нарезной,Хлебобулочные,1,45
R-0031,2026-04-20 12:30,1,card,SKU-330,Сыр Российский 200г,Молочные,1,210
R-0032,2026-04-22 17:10,2,card,SKU-220,Молоко 2.5% 1л,Молочные,3,89
R-0033,2026-04-25 10:05,1,cash,SKU-101,Хлеб белый нарезной,Хлебобулочные,1,45
R-0034,2026-04-28 14:20,1,card,SKU-220,Молоко 2.5% 1л,Молочные,1,89
R-0035,2026-04-30 11:45,1,card,SKU-101,Хлеб белый нарезной,Хлебобулочные,2,45
R-0036,2026-05-02 16:50,1,cash,SKU-220,Молоко 2.5% 1л,Молочные,1,89
R-0037,2026-05-05 09:15,1,card,SKU-330,Сыр Российский 200г,Молочные,1,210
R-0038,2026-05-08 13:35,2,card,SKU-101,Хлеб белый нарезной,Хлебобулочные,1,45
R-0039,2026-05-12 10:50,1,cash,SKU-220,Молоко 2.5% 1л,Молочные,2,89
R-0040,2026-05-15 14:20,1,card,SKU-101,Хлеб белый нарезной,Хлебобулочные,1,45
R-0041,2026-05-18 11:30,1,card,SKU-330,Сыр Российский 200г,Молочные,1,210
R-0042,2026-05-20 09:00,1,cash,SKU-220,Молоко 2.5% 1л,Молочные,1,89
R-0043,2026-05-22 16:45,2,card,SKU-101,Хлеб белый нарезной,Хлебобулочные,2,45
R-0044,2026-05-24 12:15,1,card,SKU-220,Молоко 2.5% 1л,Молочные,1,89
R-0045,2026-05-25 14:30,1,cash,SKU-101,Хлеб белый нарезной,Хлебобулочные,1,45
R-0046,2026-05-26 10:00,1,card,SKU-330,Сыр Российский 200г,Молочные,1,210
R-0047,2026-05-27 15:10,1,card,SKU-220,Молоко 2.5% 1л,Молочные,2,89
R-0048,2026-05-28 09:45,1,cash,SKU-101,Хлеб белый нарезной,Хлебобулочные,1,45
R-0049,2026-05-28 13:20,2,card,SKU-220,Молоко 2.5% 1л,Молочные,1,89
R-0050,2026-05-28 16:55,1,card,SKU-330,Сыр Российский 200г,Молочные,1,210
